,PRODUCT_NAME,sentiment_positive_num,sentiment_neutral_num,sentiment_negative_num,sentiment_positive_percent,sentiment_neutral_percent,sentiment_negative_percent
0,Vitamin C Daily Glow Face Cream - 80 g - Pack of 2,1,1,0,50,50,0
1,Ubtan Facial Kit with Turmeric & Saffron for Glowing Skin - 60 g,6,1,0,85.71428571,14.28571429,0
2,Vitamin C Facial Kit with Vitamin C & Turmeric for Skin Illumination - 60 g,3,0,0,100,0,0
3,Vitamin C Daily Glow Face Cream With Vitamin C & Turmeric for Skin Illumination - 80 g,7,1,0,87.5,12.5,0
4,Green Tea Face Wash With Green Tea & Collagen For Open Pores - 100 ml,49,1,0,98,2,0
5,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 200ml,16,0,1,94.11764706,0,5.882352941
6,Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,62,1,0,98.41269841,1.587301587,0
7,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,47,3,0,94,6,0
8,Green Tea Serum Gel with Green Tea & Collagen for Open Pores - 50 ml,59,0,0,100,0,0
9,Green Tea Day Cream With Green Tea & Collagen For Open Pores - 50 g,53,1,0,98.14814815,1.851851852,0
10,Natural Henna Combo ,15,2,0,88.23529412,11.76470588,0
11,Henna Paste 200 g (Pack of 2),36,1,0,97.2972973,2.702702703,0
12,Ubtan Face Wash 150 ml (Pack of 2),30,2,0,93.75,6.25,0
13,Charcoal Black Long Stay Kajal 0.35 g - Pack of 2,21,2,0,91.30434783,8.695652174,0
14,Coco Soft Body Wash For Babies With Coconut Milk & Turmeric - 400 ml,8,0,0,100,0,0
15,Coco Soft Body Lotion with Coconut Milk & Turmeric for 24-Hour Moisturization - 400 ml,4,0,0,100,0,0
16,Coco Soft Face Cream With Coconut Milk & Turmeric For Babies - 60 g,3,0,0,100,0,0
17,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 80ml,31,6,0,83.78378378,16.21621622,0
18,Coco Soft Bathing Bar for Babies with Coconut Oil & Turmeric for Babies - Pack of 2*75g,11,3,0,78.57142857,21.42857143,0
19,Coco Soft Massage Oil with Coconut & Turmeric Oil for Babies - 200 ml,19,1,1,90.47619048,4.761904762,4.761904762
20,Eggplex Conditioner with Egg Protein & Collagen for Strength & Shine - 250 ml,57,1,0,98.27586207,1.724137931,0
21,Eggplex Shampoo with Egg Protein & Collagen for Strength and Shine - 250 ml,116,7,0,94.30894309,5.691056911,0
22,Ubtan Face Wash with Turmeric & Saffron for Tan Removal – 150 ml,196,17,1,91.58878505,7.943925234,0.46728972
23,Skin Illuminate Sunscreen Gel SPF 50 with Vitamin C & Turmeric for UVA & B Protection - 50 g,58,1,0,98.30508475,1.694915254,0
24,Vitamin C Foaming Face Wash Combo Pack with Refill - 150ml + 150ml,82,4,0,95.34883721,4.651162791,0
25,Sunscreen Body Lotion with SPF 30 - 300 ml | Vitamin C,21,2,1,87.5,8.333333333,4.166666667
26,Sunscreen Body Lotion SPF 30 - 300 ml | Ubtan,15,0,1,93.75,0,6.25
27,Sunscreen Body Lotion SPF 30 - 300 ml | Aloe Vera,55,3,0,94.82758621,5.172413793,0
28,Mamaearth ME Deo for a Scent That’s Unique to You  - 120 ml,87,5,0,94.56521739,5.434782609,0
29,Rice Face Serum With Rice Water & Niacinamide for Glass Skin - 30 ml,79,2,0,97.5308642,2.469135802,0
30,Rice Oil-Free Face Moisturizer With Rice Water & Niacinamide for Glass Skin - 80 g,45,1,0,97.82608696,2.173913043,0
31,Rice Face Scrub With Rice Water & Niacinamide for Glass Skin - 100 g,18,2,0,90,10,0
32,Rice Face Wash With Rice Water & Niacinamide for Glass Skin - 100 ml,68,3,1,94.44444444,4.166666667,1.388888889
33,Rice Gel Face Moisturizer With Rice Water & Niacinamide for Glass Skin - 100 ml,8,3,0,72.72727273,27.27272727,0
34,Rice Night Cream With Rice Water & Niacinamide for Glass Skin - 50 g,14,0,0,100,0,0
35,Rice Day Cream With Rice Water & Niacinamide for Glass Skin - 50 g,64,0,1,98.46153846,0,1.538461538
36,Rice Sleeping Face Mask With Rice Water & Niacinamide for Glass Skin - 100 ml,9,1,0,90,10,0
37,Hair Oil Booster - 30 ml | Almond,54,0,2,96.42857143,0,3.571428571
38,Hair Oil Booster - 30 ml | Rice,51,1,5,89.47368421,1.754385965,8.771929825
39,Hair Oil Booster - 30 ml | Tea Tree,49,1,5,89.09090909,1.818181818,9.090909091
40,Hair Oil Booster - 30 ml | Onion,48,0,0,100,0,0
41,Aloe Vera Gel Moisturizer with Aloe Vera & Ashwagandha for a Youthful Glow - 100 g,56,2,0,96.55172414,3.448275862,0
42,Aloe Vera Sunscreen Face Serum with Aloe Vera & Ashwagandha for UVA & B Protection - 30 ml,18,0,0,100,0,0
43,Aloe Vera Oil-Free Face Moisturizer with Aloe Vera & Ashwagandha for a Youthful Glow - 80 g,24,2,0,92.30769231,7.692307692,0
44,Onion Hair Styling Cream for Men with Onion & Redensyl for Nourishment & Styling- 100 g,73,0,1,98.64864865,0,1.351351351
45,Natural Henna Paste with Henna & Dark Roasted Coffee for Rich Naturally Colored Hair - 200 g,122,5,0,96.06299213,3.937007874,0
46,Foaming Face Wash For Kids With Aloe Vera & Coconut For Gentle Cleansing- 150 ml ,64,2,0,96.96969697,3.03030303,0
47,Henna Shampoo with Henna and Deep Roast Coffee for Premature Greying - 250 ml,29,2,1,90.625,6.25,3.125
48,Henna Conditioner with Henna and Deep Roast Coffee for Premature Greying - 250 ml,5,1,0,83.33333333,16.66666667,0
49,Henna Hair Oil with Henna & Coffee Oil for Premature Graying - 150 ml,15,0,0,100,0,0
50,Aloe Vera Sleeping Mask with Aloe Vera & Ashwagandha for a Youthful Glow - 100 g,56,1,0,98.24561404,1.754385965,0
51,Aloe Vera Face Serum with Aloe Vera & Ashwagandha for a Youthful Glow– 30 ml,9,0,0,100,0,0
52,Aloe Ashwagandha Gel with Aloe Vera & Ashwagandha for a Youthful Glow - 300 ml,31,5,0,86.11111111,13.88888889,0
53, Aloe Vera Face Wash with Aloe Vera & Ashwagandha for a Youthful Glow - 100 ml,30,1,0,96.77419355,3.225806452,0
54,Aloe Vera Night Cream with Aloe Vera and Ashwagandha for a Youthful Glow – 50 g,7,1,0,87.5,12.5,0
55,Aloe Vera Day Cream with Aloe Vera & Ashwagandha for a Youthful Glow - 50 g,9,1,0,90,10,0
56,Vitamin C Underarm Scrub with Vitamin C and Turmeric for Brighter Underarms – 50 g,52,2,0,96.2962963,3.703703704,0
57,Vitamin C Underarm Mask with Vitamin C & Turmeric for Brighter Underarms - 50 g,11,0,0,100,0,0
58,Vitamin C Underarm Cream with Vitamin C & Turmeric for Brighter Underarms  – 50 g,62,2,0,96.875,3.125,0
59,Agent Apple Body Wash for Kids with Apple & Oat Protein – 300 ml (Pack of 2),10,0,0,100,0,0
60,Major Mango Body Wash For Kids with Mango & Oat Protein - 300 ml (Pack of 2),5,0,0,100,0,0
61,Super Strawberry Body Lotion for Kids With Strawberry & Shea Butter - 400 ml (Pack of 2),8,0,0,100,0,0
