,PRODUCT_NAME,sentiment_effect_positive_num,sentiment_effect_neutral_num,sentiment_effect_negative_num,sentiment_effect_positive_percent,sentiment_effect_neutral_percent,sentiment_effect_negative_percent
0,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,2,0,0,100,0,0
1,Green Tea Serum Gel with Green Tea & Collagen for Open Pores - 50 ml,2,0,0,100,0,0
2,Green Tea Day Cream With Green Tea & Collagen For Open Pores - 50 g,3,0,0,100,0,0
3,Ubtan Face Wash with Turmeric & Saffron for Tan Removal â€“ 150 ml,3,0,0,100,0,0
4,Skin Illuminate Sunscreen Gel SPF 50 with Vitamin C & Turmeric for UVA & B Protection - 50 g,4,0,0,100,0,0
5,Vitamin C Foaming Face Wash Combo Pack with Refill - 150ml + 150ml,1,0,0,100,0,0
6,Sunscreen Body Lotion SPF 30 - 300 ml | Aloe Vera,3,0,0,100,0,0
7,Mamaearth ME Deo for a Scent Thatâ€™s Unique to You  - 120 ml,1,0,0,100,0,0
8,Rice Face Serum With Rice Water & Niacinamide for Glass Skin - 30 ml,5,0,0,100,0,0
9,Rice Face Scrub With Rice Water & Niacinamide for Glass Skin - 100 g,0,2,0,0,100,0
10,Rice Face Wash With Rice Water & Niacinamide for Glass Skin - 100 ml,1,0,0,100,0,0
11,Rice Day Cream With Rice Water & Niacinamide for Glass Skin - 50 g,3,0,0,100,0,0
12,Hair Oil Booster - 30 ml | Almond,5,0,0,100,0,0
13,Hair Oil Booster - 30 ml | Rice,2,0,0,100,0,0
14,Hair Oil Booster - 30 ml | Tea Tree,2,0,0,100,0,0
15,Hair Oil Booster - 30 ml | Onion,1,0,0,100,0,0
16,Aloe Vera Gel Moisturizer with Aloe Vera & Ashwagandha for a Youthful Glow - 100 g,2,0,0,100,0,0
17,Onion Hair Styling Cream for Men with Onion & Redensyl for Nourishment & Styling- 100 g,7,0,0,100,0,0
18,Natural Henna Paste with Henna & Dark Roasted Coffee for Rich Naturally Colored Hair - 200 g,1,0,0,100,0,0
19,Henna Hair Oil with Henna & Coffee Oil for Premature Graying - 150 ml,1,0,0,100,0,0
20,Aloe Vera Sleeping Mask with Aloe Vera & Ashwagandha for a Youthful Glow - 100 g,1,0,0,100,0,0
21, Aloe Vera Face Wash with Aloe Vera & Ashwagandha for a Youthful Glow - 100 ml,1,0,0,100,0,0
22,Aloe Vera Day Cream with Aloe Vera & Ashwagandha for a Youthful Glow - 50 g,1,0,0,100,0,0
23,Vitamin C Underarm Scrub with Vitamin C and Turmeric for Brighter Underarms â€“ 50 g,7,0,0,100,0,0
24,Vitamin C Underarm Mask with Vitamin C & Turmeric for Brighter Underarms - 50 g,1,0,0,100,0,0
25,Vitamin C Underarm Cream with Vitamin C & Turmeric for Brighter Underarms  â€“ 50 g,11,0,0,100,0,0
26,Moisture Matte Long Stay Lipstick - 2g | Pink Tulip,1,0,0,100,0,0
27,Roots of Radiance Essence Serum with Ashwagandha & Turmeric for Radiant Skin â€“ 30 ml,5,0,0,100,0,0
28,Leaves of Clarity Essence Serum with Neem & Salicylic Acid for Clear Skinâ€“ 30 ml,13,0,0,100,0,0
29,Garden of Glow Essence Serum with Vitamin C & Passion Fruit for Skin Illumination â€“ 30 ml,1,0,0,100,0,0
30,Flowers of Youth Essence Serum with Hyaluronic Acid & Hibiscus for Youthful Skin â€“ 30 ml ,5,0,0,100,0,0
31,Naturally Matte Liquid Lipstick - 3 ml | Chocolate Truffle,3,0,0,100,0,0
32,Naturally Matte Liquid Lipstick - 3 ml | Chirpy Cherry,4,0,0,100,0,0
33,Naturally Matte Liquid Lipstick - 3 ml | Rosy Nude,3,0,0,100,0,0
34,Naturally Matte Liquid Lipstick - 3 ml | Caramel Nude ,4,0,0,100,0,0
35,Bye Bye Wrinkles Face Cream with Green Tea & Collagen for Wrinkles & Fine Lines â€“ 30 g,1,0,0,100,0,0
36,Bye Bye Open Pores Face Cream with Rosehip & Niacinamide For Pore Tightening â€“ 30 g,1,0,1,50,0,50
37,Bye Bye Acne Face Cream with Willow Bark Extract & Salicylic Acid For Clear Skin â€“ 30 g,7,0,1,87.5,0,12.5
38,Mamaearth Almond Hair Mask with Cold Pressed Almond Oil & Vitamin E for Healthy Hair Growth- 200 g,3,0,0,100,0,0
39,Ubtan Nourishing Cold Cream with Turmeric & Saffron for Glowing Moisturization â€“ 200 g,1,0,0,100,0,0
40,Mamaearth Vitamin C Tinted 100% Natural Lip Balm with Vitamin C & Honey - 2 g,2,0,0,100,0,0
41,CoCo Tinted 100% Natural Lip Balm with CoCo and Vitamin E - 2g,5,0,0,100,0,0
42,Ubtan Night Cream with Turmeric & Saffron for Skin Brightening â€“ 50 g,2,0,0,100,0,0
43,Ubtan Nourishing Hair Removal Kit With Turmeric & Saffron for Hair Removal & Growth Reduction - 100+50 g,1,0,0,100,0,0
44,Vitamin C Under Eye Cream with Gotu Kola & Niacinamide for Brightening Under Eyes - 20 ml,2,0,0,100,0,0
45,Ubtan Face Serum with Turmeric & Saffron for Skin Brightening â€“ 30 ml,1,0,0,100,0,0
