,PRODUCT_NAME,sentiment_price_positive_num,sentiment_price_neutral_num,sentiment_price_negative_num,sentiment_price_positive_percent,sentiment_price_neutral_percent,sentiment_price_negative_percent
0,Green Tea Face Wash With Green Tea & Collagen For Open Pores - 100 ml,1,0,0,100,0,0
1,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 200ml,3,0,0,100,0,0
2,Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,3,0,0,100,0,0
3,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,3,0,0,100,0,0
4,Green Tea Serum Gel with Green Tea & Collagen for Open Pores - 50 ml,3,0,0,100,0,0
5,Green Tea Day Cream With Green Tea & Collagen For Open Pores - 50 g,1,0,0,100,0,0
6,Henna Paste 200 g (Pack of 2),3,0,0,100,0,0
7,Eggplex Conditioner with Egg Protein & Collagen for Strength & Shine - 250 ml,3,0,0,100,0,0
8,Eggplex Shampoo with Egg Protein & Collagen for Strength and Shine - 250 ml,4,0,0,100,0,0
9,Ubtan Face Wash with Turmeric & Saffron for Tan Removal ï¿½ï¿½ï¿½ ,1,0,0,100,0,0
10,Skin Illuminate Sunscreen Gel SPF 50 with Vitamin C & Turmeric for UVA & B Protection - 50 g,2,0,0,100,0,0
11,Vitamin C Foaming Face Wash Combo Pack with Refill - 150ml + 150ml,6,0,0,100,0,0
12,Sunscreen Body Lotion with SPF 30 - 300 ml | Vitamin C,2,0,0,100,0,0
13,Sunscreen Body Lotion SPF 30 - 300 ml | Aloe Vera,1,0,0,100,0,0
14,Mamaearth ME Deo for a Scent Thatï¿½ï¿½ï¿½s Unique to You  - ,6,0,0,100,0,0
15,Rice Face Serum With Rice Water & Niacinamide for Glass Skin - 30 ml,2,0,0,100,0,0
16,Rice Oil-Free Face Moisturizer With Rice Water & Niacinamide for Glass Skin - 80 g,1,0,0,100,0,0
17,Rice Face Wash With Rice Water & Niacinamide for Glass Skin - 100 ml,1,0,0,100,0,0
18,Rice Day Cream With Rice Water & Niacinamide for Glass Skin - 50 g,2,0,0,100,0,0
19,Hair Oil Booster - 30 ml | Almond,2,0,0,100,0,0
20,Aloe Vera Gel Moisturizer with Aloe Vera & Ashwagandha for a Youthful Glow - 100 g,2,0,0,100,0,0
21,Onion Hair Styling Cream for Men with Onion & Redensyl for Nourishment & Styling- 100 g,2,0,0,100,0,0
