,PRODUCT_NAME,State
0,Vitamin C Daily Glow Face Cream - 80 g - Pack of 2,"{'Madhya Pradesh': 1, 'Gujarat': 1, 'Andhra Pradesh': 0, 'Rajasthan': 0, 'Himachal Pradesh': 0, 'Maharashtra': 0, 'Karnataka': 0, 'Uttarakhand': 0, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 0, 'National Capital Territory of Delhi': 0, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
1,Ubtan Facial Kit with Turmeric & Saffron for Glowing Skin - 60 g,"{'Madhya Pradesh': 0, 'Gujarat': 0, 'Andhra Pradesh': 1, 'Rajasthan': 2, 'Himachal Pradesh': 1, 'Maharashtra': 2, 'Karnataka': 1, 'Uttarakhand': 0, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 0, 'National Capital Territory of Delhi': 0, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
2,Vitamin C Facial Kit with Vitamin C & Turmeric for Skin Illumination - 60 g,"{'Madhya Pradesh': 0, 'Gujarat': 1, 'Andhra Pradesh': 0, 'Rajasthan': 0, 'Himachal Pradesh': 1, 'Maharashtra': 0, 'Karnataka': 0, 'Uttarakhand': 1, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 0, 'National Capital Territory of Delhi': 0, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
3,Vitamin C Daily Glow Face Cream With Vitamin C & Turmeric for Skin Illumination - 80 g,"{'Madhya Pradesh': 2, 'Gujarat': 2, 'Andhra Pradesh': 2, 'Rajasthan': 0, 'Himachal Pradesh': 0, 'Maharashtra': 0, 'Karnataka': 1, 'Uttarakhand': 0, 'Chandigarh': 1, 'Arunachal Pradesh': 0, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 0, 'National Capital Territory of Delhi': 0, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
4,Green Tea Face Wash With Green Tea & Collagen For Open Pores - 100 ml,"{'Madhya Pradesh': 6, 'Gujarat': 1, 'Andhra Pradesh': 4, 'Rajasthan': 4, 'Himachal Pradesh': 3, 'Maharashtra': 8, 'Karnataka': 3, 'Uttarakhand': 3, 'Chandigarh': 2, 'Arunachal Pradesh': 1, 'Haryana': 3, 'West Bengal': 2, 'Punjab': 1, 'Uttar Pradesh': 5, 'National Capital Territory of Delhi': 2, 'Goa': 1, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
5,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 200ml,"{'Madhya Pradesh': 4, 'Gujarat': 0, 'Andhra Pradesh': 0, 'Rajasthan': 1, 'Himachal Pradesh': 1, 'Maharashtra': 4, 'Karnataka': 1, 'Uttarakhand': 0, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 1, 'West Bengal': 0, 'Punjab': 2, 'Uttar Pradesh': 2, 'National Capital Territory of Delhi': 0, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 1, 'Jharkhand': 0, 'Tamil Nadu': 0}"
6,Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,"{'Madhya Pradesh': 5, 'Gujarat': 5, 'Andhra Pradesh': 4, 'Rajasthan': 4, 'Himachal Pradesh': 2, 'Maharashtra': 11, 'Karnataka': 2, 'Uttarakhand': 0, 'Chandigarh': 1, 'Arunachal Pradesh': 5, 'Haryana': 4, 'West Bengal': 3, 'Punjab': 2, 'Uttar Pradesh': 7, 'National Capital Territory of Delhi': 5, 'Goa': 0, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 1, 'Tamil Nadu': 1}"
7,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,"{'Madhya Pradesh': 4, 'Gujarat': 1, 'Andhra Pradesh': 4, 'Rajasthan': 6, 'Himachal Pradesh': 2, 'Maharashtra': 7, 'Karnataka': 3, 'Uttarakhand': 1, 'Chandigarh': 1, 'Arunachal Pradesh': 1, 'Haryana': 1, 'West Bengal': 1, 'Punjab': 3, 'Uttar Pradesh': 4, 'National Capital Territory of Delhi': 3, 'Goa': 1, 'Odisha': 3, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 4}"
8,Green Tea Serum Gel with Green Tea & Collagen for Open Pores - 50 ml,"{'Madhya Pradesh': 5, 'Gujarat': 2, 'Andhra Pradesh': 3, 'Rajasthan': 1, 'Himachal Pradesh': 1, 'Maharashtra': 6, 'Karnataka': 3, 'Uttarakhand': 3, 'Chandigarh': 3, 'Arunachal Pradesh': 4, 'Haryana': 5, 'West Bengal': 3, 'Punjab': 3, 'Uttar Pradesh': 7, 'National Capital Territory of Delhi': 5, 'Goa': 2, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 1, 'Tamil Nadu': 1}"
9,Green Tea Day Cream With Green Tea & Collagen For Open Pores - 50 g,"{'Madhya Pradesh': 2, 'Gujarat': 4, 'Andhra Pradesh': 4, 'Rajasthan': 4, 'Himachal Pradesh': 1, 'Maharashtra': 7, 'Karnataka': 2, 'Uttarakhand': 2, 'Chandigarh': 2, 'Arunachal Pradesh': 3, 'Haryana': 3, 'West Bengal': 2, 'Punjab': 4, 'Uttar Pradesh': 8, 'National Capital Territory of Delhi': 4, 'Goa': 1, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 1}"
